i,n,lat,lon
334,7183401830,-3.823459,-38.6287002
335,1781269350,-3.7856431,-38.4574386
336,7183401834,-3.823428,-38.6288828
337,7183401835,-3.8228475,-38.6293097
338,2508981100,-3.7937952,-38.5177308
339,2508981101,-3.7916891,-38.5172882
340,1283720046,-3.749624,-38.6124552
341,2508981102,-3.7945539,-38.5180915
342,7183401838,-3.8240586,-38.6284472
343,1283720049,-3.7480659,-38.6073116
344,1781269362,-3.7866772,-38.5020294
345,7183401843,-3.8147531,-38.6354439
346,1283720052,-3.7484087,-38.6073299
347,1781269364,-3.8084606,-38.4904674
348,2019296115,-3.7471817,-38.4799522
349,1283720055,-3.7497546,-38.6142412
350,7183401844,-3.8153245,-38.6349987
351,7183401845,-3.8158999,-38.6345816
352,2019296122,-3.7468458,-38.4834565
353,7183401846,-3.8165048,-38.6341015
354,7183401847,-3.8170601,-38.6336656
355,1781269373,-3.7860591,-38.5059924
356,7183401848,-3.8175994,-38.6332579
357,7183401849,-3.8182202,-38.6327952
358,1283720064,-3.7591754,-38.6140351
359,7183401851,-3.8187635,-38.6323848
360,1283720066,-3.7576119,-38.6160864
361,2019296131,-3.7482456,-38.4834163
362,1283720068,-3.7524143,-38.613983
363,2019296133,-3.744638,-38.4839316
364,7183401862,-3.8117264,-38.6376783
365,7183401863,-3.8122124,-38.6373243
366,7183401859,-3.8210799,-38.6306507
367,7199523723,-3.7589059,-38.5408272
368,2019296139,-3.747944,-38.4804232
369,1781269392,-3.8054708,-38.4757243
370,1781269396,-3.7870768,-38.5062627
371,2019296153,-3.7413034,-38.4855188
372,2019296155,-3.7488817,-38.4820776
373,1781269405,-3.784334,-38.5055517
374,1781269409,-3.7716667,-38.4949835
375,1781269411,-3.8021665,-38.4664983
376,1283720102,-3.7583281,-38.6138438
377,7199523751,-3.7552149,-38.5405151
378,1781269414,-3.8021371,-38.4661094
379,1283720105,-3.7562866,-38.6160407
380,2019296169,-3.7467762,-38.4792626
381,1283720107,-3.7610512,-38.6145003
382,2019296171,-3.7459479,-38.4819612
383,1283720109,-3.7596314,-38.6136683
384,1283720112,-3.7423281,-38.6083863
385,1781269424,-3.7695906,-38.492921
386,1283720118,-3.744515,-38.6085086
387,2019296182,-3.7390755,-38.4841217
388,2019296185,-3.7427159,-38.4864549
389,2019296187,-3.7412231,-38.4856985
390,1781269438,-3.8080989,-38.4897133
391,2019296192,-3.7462435,-38.4781428
392,2019296197,-3.7405988,-38.4853032
393,1781269447,-3.7869782,-38.5048284
394,2019296205,-3.743286,-38.4847035
395,1781269453,-3.8102978,-38.4787741
396,1781269460,-3.8024618,-38.4699815
397,1781269462,-3.7697024,-38.4956378
398,2019296219,-3.7499578,-38.46664
399,1283720156,-3.7484103,-38.6078854
400,1781269468,-3.8001005,-38.4719079
401,1283720158,-3.7576868,-38.6142996
402,1283720160,-3.7518215,-38.6121822
403,2475951073,-3.752258,-38.4970834
404,2475951076,-3.7525711,-38.4974248
405,3248751590,-3.7885742,-38.5490685
406,1283720167,-3.7479019,-38.6090116
407,3248751592,-3.7872422,-38.5486465
408,3248751591,-3.7887681,-38.5484638
409,2475951078,-3.7527191,-38.4981517
410,1283720171,-3.7544414,-38.6124072
411,2475951082,-3.7518467,-38.498274
412,1781269482,-3.7719772,-38.4934493
413,1283720174,-3.760293,-38.6153119
414,2475951087,-3.752956,-38.4970684
415,2475951088,-3.751915,-38.4987499
416,2475951091,-3.7522131,-38.4985041
417,1781269492,-3.7705156,-38.4943926
418,1893729270,-3.8151379,-38.5404791
419,1781269497,-3.771407,-38.4932616
420,1781269498,-3.8080224,-38.4893758
421,1781269501,-3.7991371,-38.4659821
422,1781269504,-3.7694456,-38.4932427
423,1781269506,-3.7699477,-38.4933886
424,2767848450,-3.7325863,-38.4637303
425,1781269508,-3.7814492,-38.4571354
426,2767848453,-3.7296563,-38.4626256
427,2767848454,-3.7298109,-38.46291
428,1781269511,-3.7841076,-38.5045839
429,1283720200,-3.7436491,-38.6075266
430,1781269513,-3.8085919,-38.4873999
431,1283720203,-3.7577552,-38.6125716
432,2767848460,-3.7296038,-38.463122
433,1283720211,-3.7556188,-38.6159543
434,1781269523,-3.812234,-38.4790902
435,1781269526,-3.7873624,-38.5068765
436,1283720215,-3.7602562,-38.6161222
437,1283720218,-3.7517376,-38.6139125
438,2856846364,-3.8199251,-38.522537
439,1283720221,-3.7597122,-38.6134974
440,2856846366,-3.8192451,-38.5223767
441,2846491679,-3.7509205,-38.5819891
442,2846491680,-3.7504942,-38.5826798
443,2846491681,-3.7503924,-38.5825857
444,2846491682,-3.7510618,-38.5835434
445,1283720226,-3.7609203,-38.6153492
446,2856846370,-3.8190054,-38.5240207
447,2846491685,-3.7513805,-38.5827525
448,2846491686,-3.7515423,-38.5823568
449,2846491687,-3.7512464,-38.583125
450,2846491688,-3.7505259,-38.5826426
451,2846491689,-3.7507016,-38.582386
452,2846491690,-3.7518695,-38.5832953
453,2856846377,-3.8194323,-38.5224525
454,2856846380,-3.8199844,-38.5222221
455,2856846372,-3.8195442,-38.523743
456,2846491694,-3.7520313,-38.5825746
457,2846491695,-3.7526529,-38.582882
458,2846491696,-3.7519338,-38.5825424
459,1283720239,-3.749984,-38.6067028
460,2846491698,-3.7523137,-38.581802
461,2846491699,-3.7524534,-38.5808482
462,1283720243,-3.7506943,-38.6120704
463,2767848495,-3.7269701,-38.4649732
464,2767848499,-3.7260705,-38.465483
465,2767848496,-3.7265701,-38.4651917
466,2767848498,-3.7262553,-38.4653749
467,1781269555,-3.7841028,-38.4557541
468,4835771441,-3.8577878,-38.462549
469,1283720251,-3.7603073,-38.6150414
470,4835771447,-3.856932,-38.4637642
471,4835771448,-3.8562846,-38.4635331
472,1283720255,-3.7462791,-38.6063118
473,1991771200,-3.7357601,-38.4837796
474,4835771457,-3.8574136,-38.4622579
475,4835771458,-3.8577138,-38.4620434
476,1781269571,-3.7836499,-38.4575999
477,1283720260,-3.7590848,-38.6153852
478,1283720264,-3.7478947,-38.6084565
479,1991771208,-3.7343653,-38.4828013
480,1283720267,-3.7599996,-38.6143477
481,4835771469,-3.8576889,-38.4598568
482,1991771214,-3.7359978,-38.4831556
483,1991771215,-3.7333775,-38.4831435
484,616927629,-3.7708364,-38.4746656
485,4835771470,-3.8570152,-38.4587229
486,6148457575,-3.7372786,-38.5086155
487,2511602797,-3.8102747,-38.4761703
488,2511602800,-3.8103371,-38.4767245
489,2511602801,-3.8103841,-38.4767241
490,2511602802,-3.809841,-38.4767803
491,2511602803,-3.8099036,-38.4767659
492,2511602804,-3.8098548,-38.4762947
493,6566446212,-3.7487314,-38.5299811
494,7199655053,-3.8485388,-38.6103589
495,7199655060,-3.8480208,-38.6192727
496,7199655078,-3.8395117,-38.6147303
497,3990997730,-3.8303314,-38.4743288
498,3990997734,-3.831045,-38.4744605
499,3990997735,-3.8306852,-38.4743959
500,3990997736,-3.8305468,-38.4751267
501,3990997737,-3.8305171,-38.4751972
502,2832073960,-3.7663096,-38.6109431
503,2832073961,-3.7664386,-38.6110422
504,2832073962,-3.7668355,-38.6113737
505,2832073963,-3.7671984,-38.6116803
506,2832073964,-3.767381,-38.6118302
507,2832073965,-3.7675753,-38.6120033
508,2832073966,-3.7679385,-38.6123262
509,2832073967,-3.7683045,-38.6126497
510,2832073968,-3.7686755,-38.6129752
511,2832073971,-3.769379,-38.6136059
512,3990997740,-3.8332375,-38.473648
513,2832073973,-3.7698835,-38.6137333
514,2832073974,-3.7703091,-38.613795
515,2832073976,-3.7710313,-38.6139448
516,3990997741,-3.8339237,-38.4742619
517,2832073978,-3.7714209,-38.614269
518,2832073979,-3.7717303,-38.6146037
519,2832073982,-3.7725252,-38.6152077
520,3990997742,-3.8334733,-38.4733385
521,2832073984,-3.7734641,-38.6155142
522,2832073985,-3.7743917,-38.6157955
523,2832073986,-3.7758043,-38.6162032
524,2832073987,-3.7764857,-38.6164013
525,3990997743,-3.8341297,-38.4739199
526,7202669859,-3.8422618,-38.4943577
527,5141824850,-3.7921671,-38.567709
528,5141824852,-3.7648948,-38.5580296
